Dealer Name,Dealer ID,Invoice Date,Region,Governorate,City,Part Description,Unit Price,Quantity Sold,Total Sales,Operating Profit,Operating Margin
Auto Spare Parts Dealer 15 - Sharqia,10014,2022-03-10,Delta,Dakahlia,Bilqas,NGK Regular Bulb for Kia,133.31,122,16263.82,5830.58,35.85
Auto Spare Parts Dealer 9 - Dakahlia,10008,2023-11-28,Greater Cairo,Cairo,Gesr El Suez,ACDelco Window Regulator for Nissan 1987-2015,659.03,43,28338.29,9754.04,34.42
Auto Spare Parts Dealer 37 - Beheira,10036,2022-03-21,Delta,Dakahlia,Mit Ghamr,Hella Front Headlight for Chevrolet Half-Truck,815.2,28,22825.6,4820.77,21.12
Auto Spare Parts Dealer 40 - Beheira,10039,2023-04-28,Upper Egypt,Assiut,Qusiya,Philips Alarm System for Toyota 1987-2015,2239.08,7,15673.56,3365.11,21.47
Auto Spare Parts Dealer 30 - Dakahlia,10029,2024-12-09,Greater Cairo,Cairo,Maadi,Denso Windshield Wiper for Hyundai,121.75,43,5235.25,1696.74,32.41
Auto Spare Parts Dealer 10 - Sharqia,10009,2022-08-15,Greater Cairo,Qalyubia,Qalyub,Philips Front Headlight for Nissan 1987-2015,519.5,29,15065.5,4792.34,31.81
Auto Spare Parts Dealer 48 - Minya,10047,2023-04-27,Upper Egypt,Assiut,Assiut First,Valeo Battery for Nissan 1987-2015,1037.53,16,16600.48,6577.11,39.62
Auto Spare Parts Dealer 27 - Minya,10026,2023-11-17,Greater Cairo,Cairo,Nasr City,Champion Battery for Hyundai,1228.58,12,14742.96,3057.69,20.74
Auto Spare Parts Dealer 46 - Port Said,10045,2022-09-30,Delta,Sharqia,Bilbeis,Magneti Marelli Air Filter for Chevrolet Half-Truck,299.17,69,20642.73,4173.96,20.22
Auto Spare Parts Dealer 46 - Port Said,10045,2022-03-01,Alexandria,Alexandria,Miami,Hella Regular Bulb for Chevrolet Half-Truck,95.86,53,5080.58,1994.13,39.25
Auto Spare Parts Dealer 18 - Cairo,10017,2024-03-03,Delta,Sharqia,Minya Al Qamh,Magneti Marelli Engine Oil for Chevrolet Half-Truck,1501.09,12,18013.08,5065.28,28.12
Auto Spare Parts Dealer 14 - Sohag,10013,2022-07-27,Greater Cairo,Qalyubia,Shibin El Qanater,Hella Regular Bulb for Chevrolet Half-Truck,185.83,37,6875.71,1967.14,28.61
Auto Spare Parts Dealer 9 - Dakahlia,10008,2023-08-22,Canal Zone,Port Said,Arab,Hella Side Mirror for Toyota 1987-2015,692.7,8,5541.6,1386.51,25.02
Auto Spare Parts Dealer 32 - Monufia,10031,2022-06-09,Alexandria,Alexandria,Miami,Philips Brake Pads for Nissan 1987-2015,654.47,29,18979.63,6914.28,36.43
Auto Spare Parts Dealer 22 - Minya,10021,2024-11-15,Delta,Beheira,Edku,ACDelco Alarm System for Kia,1779.27,9,16013.43,5119.49,31.97
Auto Spare Parts Dealer 42 - Alexandria,10041,2024-10-08,Upper Egypt,Aswan,Edfu,Valeo Window Regulator for Hyundai,1051.03,7,7357.21,1605.34,21.82
Auto Spare Parts Dealer 30 - Dakahlia,10029,2023-11-04,Upper Egypt,Luxor,Esna,Magneti Marelli Front Headlight for Toyota 1987-2015,952.18,8,7617.44,2248.67,29.52
Auto Spare Parts Dealer 22 - Minya,10021,2023-02-14,Greater Cairo,Qalyubia,Qalyub,Valeo Alarm System for Toyota 1987-2015,1597.11,15,23956.65,8109.33,33.85
Auto Spare Parts Dealer 45 - Ismailia,10044,2022-04-22,Upper Egypt,Luxor,Luxor First,Magneti Marelli Air Filter for Chevrolet Half-Truck,429.07,27,11584.89,4074.41,35.17
Auto Spare Parts Dealer 6 - Minya,10005,2024-09-16,Canal Zone,Ismailia,First District,Valeo Windshield Wiper for Chevrolet Half-Truck,258.1,51,13163.1,2678.69,20.35
Auto Spare Parts Dealer 43 - Dakahlia,10042,2022-06-02,Canal Zone,Ismailia,Arbaeen,Bosch Engine Oil for Kia,1081.72,20,21634.4,4880.72,22.56
Auto Spare Parts Dealer 10 - Sharqia,10009,2023-01-21,Upper Egypt,Aswan,Edfu,Valeo Window Regulator for Chevrolet Half-Truck,1273.28,17,21645.76,5673.35,26.21
Auto Spare Parts Dealer 24 - Assiut,10023,2022-03-08,Delta,Sharqia,Bilbeis,Denso Alarm System for Nissan 1987-2015,1552.61,9,13973.49,4440.78,31.78
Auto Spare Parts Dealer 3 - Cairo,10002,2022-02-23,Upper Egypt,Minya,Samalut,Magneti Marelli Rear Taillight for Kia,418.1,71,29685.1,5993.42,20.19
Auto Spare Parts Dealer 48 - Minya,10047,2023-01-05,Upper Egypt,Sohag,Tahta,Valeo Side Mirror for Chevrolet Half-Truck,353.97,56,19822.32,6162.76,31.09
Auto Spare Parts Dealer 22 - Minya,10021,2022-09-13,Greater Cairo,Qalyubia,Toukh,CASP Alarm System for Nissan 1987-2015,1713.35,8,13706.8,4901.55,35.76
Auto Spare Parts Dealer 21 - Minya,10020,2022-07-12,Greater Cairo,Giza,Imbaba,NGK HID Bulb for Chevrolet Half-Truck,685.0,15,10275.0,3524.32,34.3
Auto Spare Parts Dealer 13 - Luxor,10012,2023-09-12,Canal Zone,Port Said,Manakh,Magneti Marelli Air Filter for Hyundai,593.75,31,18406.25,5468.5,29.71
Auto Spare Parts Dealer 21 - Minya,10020,2023-02-12,Greater Cairo,Qalyubia,Shibin El Qanater,Champion Engine Oil for Nissan 1987-2015,1998.76,11,21986.36,7561.11,34.39
Auto Spare Parts Dealer 30 - Dakahlia,10029,2024-01-06,Greater Cairo,Giza,Faisal,CASP Regular Bulb for Kia,93.2,15,1398.0,295.54,21.14
Auto Spare Parts Dealer 33 - Minya,10032,2022-03-21,Greater Cairo,Cairo,Maadi,Philips Air Filter for Kia,221.67,27,5985.09,1371.18,22.91
Auto Spare Parts Dealer 40 - Beheira,10039,2023-02-03,Delta,Monufia,Bagour,Philips Alarm System for Hyundai,1661.61,18,29908.98,11347.47,37.94
Auto Spare Parts Dealer 2 - Sharqia,10001,2023-03-29,Canal Zone,Ismailia,First District,Champion Engine Oil for Kia,1691.09,7,11837.63,3005.57,25.39
Auto Spare Parts Dealer 44 - Monufia,10043,2022-06-02,Delta,Sharqia,Minya Al Qamh,Valeo Rear Taillight for Nissan 1987-2015,719.01,10,7190.1,2837.93,39.47
Auto Spare Parts Dealer 33 - Minya,10032,2022-03-17,Delta,Monufia,Menouf,CASP Air Filter for Chevrolet Half-Truck,243.65,82,19979.3,7989.72,39.99
Auto Spare Parts Dealer 11 - Qalyubia,10010,2023-04-24,Upper Egypt,Assiut,Abnoub,Mobil Alarm System for Chevrolet Half-Truck,2068.68,8,16549.44,6073.64,36.7
Auto Spare Parts Dealer 46 - Port Said,10045,2023-11-15,Alexandria,Alexandria,Montazah,NGK Battery for Toyota 1987-2015,2824.75,8,22598.0,5929.72,26.24
Auto Spare Parts Dealer 43 - Dakahlia,10042,2024-06-16,Greater Cairo,Qalyubia,Khanka,NGK HID Bulb for Nissan 1987-2015,503.6,22,11079.2,2723.27,24.58
Auto Spare Parts Dealer 37 - Beheira,10036,2023-12-05,Upper Egypt,Aswan,Kom Ombo,CASP Alarm System for Nissan 1987-2015,1750.78,16,28012.48,7924.73,28.29
Auto Spare Parts Dealer 14 - Sohag,10013,2022-03-18,Upper Egypt,Minya,Mallawi,Valeo HID Bulb for Hyundai,899.94,9,8099.46,2874.5,35.49
Auto Spare Parts Dealer 34 - Giza,10033,2023-06-06,Delta,Monufia,Berket El Sabaa,Mobil Alarm System for Toyota 1987-2015,2311.94,9,20807.46,5345.44,25.69
Auto Spare Parts Dealer 9 - Dakahlia,10008,2023-07-08,Delta,Monufia,Shebin El Kom,Mobil HID Bulb for Nissan 1987-2015,822.67,35,28793.45,10541.28,36.61
Auto Spare Parts Dealer 10 - Sharqia,10009,2023-01-21,Upper Egypt,Aswan,Edfu,Magneti Marelli Windshield Wiper for Toyota 1987-2015,132.49,55,7286.95,1674.54,22.98
Auto Spare Parts Dealer 27 - Minya,10026,2024-03-19,Upper Egypt,Luxor,Luxor First,Champion Engine Oil for Nissan 1987-2015,1516.61,19,28815.59,11007.56,38.2
Auto Spare Parts Dealer 1 - Qalyubia,10000,2024-06-06,Alexandria,Alexandria,Glim,CASP Alarm System for Toyota 1987-2015,1784.1,8,14272.8,3549.65,24.87
Auto Spare Parts Dealer 44 - Monufia,10043,2023-06-03,Greater Cairo,Qalyubia,Qalyub,NGK Side Mirror for Kia,360.85,19,6856.15,2715.72,39.61
Auto Spare Parts Dealer 29 - Qalyubia,10028,2023-07-28,Upper Egypt,Aswan,Edfu,DEPO Windshield Wiper for Chevrolet Half-Truck,155.66,45,7004.7,2016.65,28.79
Auto Spare Parts Dealer 7 - Minya,10006,2024-03-13,Delta,Monufia,Menouf,Philips Rear Taillight for Kia,569.54,22,12529.88,2663.85,21.26
Auto Spare Parts Dealer 41 - Beheira,10040,2023-09-03,Delta,Beheira,Damanhour,Bosch Battery for Chevrolet Half-Truck,1759.25,18,31666.5,8980.62,28.36
Auto Spare Parts Dealer 26 - Sohag,10025,2023-01-18,Upper Egypt,Assiut,Qusiya,Bosch Windshield Wiper for Toyota 1987-2015,270.67,112,30315.04,8175.97,26.97
Auto Spare Parts Dealer 29 - Qalyubia,10028,2023-06-24,Delta,Dakahlia,Mansoura,Champion Alarm System for Kia,2189.67,7,15327.69,3247.94,21.19
Auto Spare Parts Dealer 32 - Monufia,10031,2022-06-30,Delta,Sharqia,Minya Al Qamh,Mobil Rear Taillight for Toyota 1987-2015,660.33,17,11225.61,3432.79,30.58
Auto Spare Parts Dealer 44 - Monufia,10043,2024-06-13,Greater Cairo,Cairo,Maadi,NGK Battery for Toyota 1987-2015,1316.55,11,14482.05,4799.35,33.14
Auto Spare Parts Dealer 44 - Monufia,10043,2022-07-20,Upper Egypt,Sohag,Sohag First,Philips Windshield Wiper for Toyota 1987-2015,247.57,39,9655.23,3689.26,38.21
Auto Spare Parts Dealer 44 - Monufia,10043,2022-10-12,Canal Zone,Ismailia,Arbaeen,Mobil Regular Bulb for Kia,63.45,139,8819.55,2496.81,28.31
Auto Spare Parts Dealer 22 - Minya,10021,2022-01-26,Upper Egypt,Assiut,Dayrout,Philips Regular Bulb for Nissan 1987-2015,153.77,22,3382.94,993.23,29.36
Auto Spare Parts Dealer 9 - Dakahlia,10008,2022-07-16,Delta,Beheira,Rashid,Hella Window Regulator for Toyota 1987-2015,657.06,17,11170.02,3395.69,30.4
Auto Spare Parts Dealer 48 - Minya,10047,2023-01-14,Upper Egypt,Assiut,Abnoub,ACDelco Engine Oil for Nissan 1987-2015,1508.23,18,27148.14,8353.48,30.77
Auto Spare Parts Dealer 21 - Minya,10020,2023-09-08,Upper Egypt,Aswan,Edfu,Denso Alarm System for Kia,2219.21,7,15534.47,5404.44,34.79
Auto Spare Parts Dealer 42 - Alexandria,10041,2023-10-11,Upper Egypt,Minya,Mallawi,Hella Brake Pads for Kia,442.6,68,30096.8,6046.45,20.09
Auto Spare Parts Dealer 20 - Sharqia,10019,2023-04-12,Alexandria,Alexandria,Miami,Mobil Windshield Wiper for Nissan 1987-2015,146.91,122,17923.02,4272.85,23.84
Auto Spare Parts Dealer 31 - Sohag,10030,2022-05-14,Greater Cairo,Giza,Imbaba,DEPO Side Mirror for Nissan 1987-2015,943.76,14,13212.64,4813.36,36.43
Auto Spare Parts Dealer 40 - Beheira,10039,2024-10-20,Delta,Dakahlia,Mansoura,Denso Side Mirror for Chevrolet Half-Truck,452.25,24,10854.0,2790.56,25.71
Auto Spare Parts Dealer 5 - Port Said,10004,2023-02-01,Canal Zone,Ismailia,First District,Bosch Alarm System for Chevrolet Half-Truck,2492.1,9,22428.9,7825.44,34.89
Auto Spare Parts Dealer 30 - Dakahlia,10029,2024-12-09,Greater Cairo,Cairo,Maadi,Hella Front Headlight for Nissan 1987-2015,1030.43,18,18547.74,7302.25,39.37
Auto Spare Parts Dealer 48 - Minya,10047,2024-01-29,Upper Egypt,Minya,Samalut,Champion Regular Bulb for Hyundai,76.89,86,6612.54,1565.19,23.67
Auto Spare Parts Dealer 42 - Alexandria,10041,2024-04-14,Delta,Monufia,Berket El Sabaa,Mobil Alarm System for Toyota 1987-2015,1731.23,9,15581.07,3153.61,20.24
Auto Spare Parts Dealer 9 - Dakahlia,10008,2022-12-22,Greater Cairo,Qalyubia,Shibin El Qanater,Denso Regular Bulb for Chevrolet Half-Truck,144.72,107,15485.04,5707.79,36.86
Auto Spare Parts Dealer 45 - Ismailia,10044,2023-10-23,Upper Egypt,Sohag,Tahta,Bosch Windshield Wiper for Toyota 1987-2015,263.63,91,23990.33,7281.07,30.35
Auto Spare Parts Dealer 12 - Dakahlia,10011,2023-09-29,Delta,Beheira,Abu Hummus,Magneti Marelli Engine Oil for Nissan 1987-2015,1512.68,17,25715.56,5955.72,23.16
Auto Spare Parts Dealer 39 - Cairo,10038,2022-03-18,Delta,Sharqia,Faqus,Magneti Marelli Brake Cylinder for Hyundai,1057.13,20,21142.6,7922.13,37.47
Auto Spare Parts Dealer 46 - Port Said,10045,2024-05-09,Upper Egypt,Luxor,Armant,DEPO Window Regulator for Hyundai,694.44,9,6249.96,2401.23,38.42
Auto Spare Parts Dealer 37 - Beheira,10036,2023-07-04,Upper Egypt,Minya,Mallawi,Champion Windshield Wiper for Kia,117.08,18,2107.44,500.1,23.73
Auto Spare Parts Dealer 35 - Assiut,10034,2024-02-09,Canal Zone,Port Said,Dawahi,Mobil Engine Oil for Toyota 1987-2015,1322.98,20,26459.6,6847.74,25.88
Auto Spare Parts Dealer 2 - Sharqia,10001,2024-08-27,Delta,Dakahlia,Bilqas,Philips Alarm System for Toyota 1987-2015,1584.28,9,14258.52,3500.47,24.55
Auto Spare Parts Dealer 47 - Alexandria,10046,2023-05-07,Upper Egypt,Sohag,Maragha,DEPO Regular Bulb for Toyota 1987-2015,129.63,127,16463.01,6400.82,38.88
Auto Spare Parts Dealer 25 - Cairo,10024,2024-06-30,Greater Cairo,Giza,Haram,Denso Regular Bulb for Kia,50.93,33,1680.69,619.33,36.85
Auto Spare Parts Dealer 11 - Qalyubia,10010,2024-02-25,Canal Zone,Ismailia,Arbaeen,Philips Rear Taillight for Nissan 1987-2015,576.32,17,9797.44,3803.37,38.82
Auto Spare Parts Dealer 48 - Minya,10047,2024-05-25,Greater Cairo,Cairo,Shubra,Philips Engine Oil for Chevrolet Half-Truck,1147.31,7,8031.17,1708.23,21.27
Auto Spare Parts Dealer 43 - Dakahlia,10042,2022-03-31,Canal Zone,Ismailia,Sheikh Zayed,Champion Battery for Nissan 1987-2015,1862.74,14,26078.36,7635.74,29.28
Auto Spare Parts Dealer 25 - Cairo,10024,2023-09-11,Canal Zone,Ismailia,Sheikh Zayed,Champion Brake Pads for Kia,435.69,12,5228.28,1552.8,29.7
Auto Spare Parts Dealer 21 - Minya,10020,2023-12-20,Greater Cairo,Cairo,Shubra,Bosch Windshield Wiper for Kia,143.84,74,10644.16,3384.84,31.8
Auto Spare Parts Dealer 20 - Sharqia,10019,2024-08-29,Greater Cairo,Giza,Faisal,ACDelco Alarm System for Chevrolet Half-Truck,1828.67,11,20115.37,6103.0,30.34
Auto Spare Parts Dealer 5 - Port Said,10004,2024-12-18,Upper Egypt,Aswan,Edfu,ACDelco Regular Bulb for Toyota 1987-2015,105.56,43,4539.08,1726.21,38.03
Auto Spare Parts Dealer 29 - Qalyubia,10028,2022-02-26,Upper Egypt,Aswan,Aswan First,DEPO Battery for Kia,1087.95,14,15231.3,3876.37,25.45
Auto Spare Parts Dealer 23 - Sohag,10022,2022-06-09,Alexandria,Alexandria,Miami,NGK Air Filter for Chevrolet Half-Truck,304.39,53,16132.67,6241.73,38.69
Auto Spare Parts Dealer 6 - Minya,10005,2023-09-24,Canal Zone,Port Said,Manakh,CASP Air Filter for Hyundai,385.84,36,13890.24,4108.73,29.58
Auto Spare Parts Dealer 35 - Assiut,10034,2022-06-26,Canal Zone,Port Said,Sharq,Bosch Regular Bulb for Toyota 1987-2015,74.05,143,10589.15,2528.69,23.88
Auto Spare Parts Dealer 2 - Sharqia,10001,2022-05-19,Upper Egypt,Assiut,Qusiya,Magneti Marelli Battery for Hyundai,1798.04,9,16182.36,3717.09,22.97
Auto Spare Parts Dealer 12 - Dakahlia,10011,2024-08-28,Upper Egypt,Sohag,Maragha,Philips Regular Bulb for Kia,167.81,89,14935.09,3128.9,20.95
Auto Spare Parts Dealer 24 - Assiut,10023,2022-06-30,Delta,Beheira,Abu Hummus,Philips Regular Bulb for Hyundai,145.32,61,8864.52,1857.12,20.95
Auto Spare Parts Dealer 5 - Port Said,10004,2023-02-19,Canal Zone,Port Said,Sharq,Magneti Marelli Windshield Wiper for Kia,275.64,10,2756.4,723.28,26.24
Auto Spare Parts Dealer 32 - Monufia,10031,2022-09-23,Delta,Beheira,Damanhour,Mobil Windshield Wiper for Kia,185.81,129,23969.49,6632.36,27.67
Auto Spare Parts Dealer 24 - Assiut,10023,2023-10-04,Delta,Sharqia,Faqus,Philips Windshield Wiper for Nissan 1987-2015,125.31,108,13533.48,2760.83,20.4
Auto Spare Parts Dealer 45 - Ismailia,10044,2022-09-19,Delta,Beheira,Damanhour,Valeo Alarm System for Toyota 1987-2015,2013.24,11,22145.64,6944.87,31.36
Auto Spare Parts Dealer 26 - Sohag,10025,2024-11-23,Alexandria,Alexandria,Sidi Gaber,CASP HID Bulb for Chevrolet Half-Truck,692.93,15,10393.95,2651.5,25.51
Auto Spare Parts Dealer 35 - Assiut,10034,2022-06-10,Upper Egypt,Aswan,Edfu,Philips Alarm System for Kia,2111.38,15,31670.7,10036.44,31.69
Auto Spare Parts Dealer 28 - Dakahlia,10027,2023-09-09,Delta,Beheira,Kafr El Dawar,DEPO Windshield Wiper for Kia,160.12,123,19694.76,5540.14,28.13
Auto Spare Parts Dealer 25 - Cairo,10024,2023-01-28,Upper Egypt,Minya,Samalut,Champion Regular Bulb for Hyundai,182.36,122,22247.92,5421.82,24.37
Auto Spare Parts Dealer 24 - Assiut,10023,2024-11-19,Delta,Beheira,Rashid,Denso Battery for Toyota 1987-2015,1384.25,20,27685.0,8978.25,32.43
Auto Spare Parts Dealer 27 - Minya,10026,2022-02-24,Upper Egypt,Assiut,Abnoub,Valeo Windshield Wiper for Chevrolet Half-Truck,214.51,35,7507.85,1788.37,23.82
Auto Spare Parts Dealer 26 - Sohag,10025,2022-08-07,Upper Egypt,Assiut,Qusiya,Magneti Marelli Engine Oil for Hyundai,1567.81,12,18813.72,6375.97,33.89
Auto Spare Parts Dealer 20 - Sharqia,10019,2023-11-13,Upper Egypt,Assiut,Qusiya,Denso HID Bulb for Kia,883.07,7,6181.49,1952.11,31.58
Auto Spare Parts Dealer 13 - Luxor,10012,2022-08-07,Upper Egypt,Aswan,Nasr Nubia,Denso Windshield Wiper for Kia,212.73,99,21060.27,6457.08,30.66
Auto Spare Parts Dealer 26 - Sohag,10025,2024-08-14,Canal Zone,Port Said,Dawahi,NGK Rear Taillight for Hyundai,433.33,16,6933.28,1834.55,26.46
Auto Spare Parts Dealer 7 - Minya,10006,2022-02-16,Upper Egypt,Sohag,Akhmim,Magneti Marelli Brake Pads for Chevrolet Half-Truck,509.06,47,23925.82,6093.91,25.47
Auto Spare Parts Dealer 17 - Monufia,10016,2022-02-15,Upper Egypt,Sohag,Sohag First,Valeo HID Bulb for Toyota 1987-2015,574.57,14,8043.98,3158.87,39.27
Auto Spare Parts Dealer 24 - Assiut,10023,2024-11-08,Upper Egypt,Minya,Beni Mazar,Bosch Side Mirror for Kia,580.13,43,24945.59,5460.59,21.89
Auto Spare Parts Dealer 7 - Minya,10006,2024-11-28,Greater Cairo,Cairo,Shubra,Philips Regular Bulb for Kia,181.31,95,17224.45,6881.17,39.95
Auto Spare Parts Dealer 25 - Cairo,10024,2022-02-24,Greater Cairo,Cairo,Gesr El Suez,Valeo Air Filter for Hyundai,563.17,29,16331.93,5149.46,31.53
Auto Spare Parts Dealer 47 - Alexandria,10046,2023-12-19,Upper Egypt,Assiut,Dayrout,DEPO Alarm System for Toyota 1987-2015,2172.3,11,23895.3,6786.27,28.4
Auto Spare Parts Dealer 23 - Sohag,10022,2024-09-03,Delta,Sharqia,Faqus,NGK Alarm System for Kia,2212.02,12,26544.24,6285.68,23.68
Auto Spare Parts Dealer 44 - Monufia,10043,2023-05-02,Canal Zone,Port Said,Arab,Valeo Air Filter for Kia,300.14,62,18608.68,5443.04,29.25
Auto Spare Parts Dealer 28 - Dakahlia,10027,2024-05-18,Greater Cairo,Giza,Imbaba,DEPO Engine Oil for Toyota 1987-2015,1031.32,8,8250.56,2776.31,33.65
Auto Spare Parts Dealer 6 - Minya,10005,2022-12-09,Delta,Dakahlia,Dikirnis,Valeo Engine Oil for Toyota 1987-2015,1358.49,10,13584.9,4137.96,30.46
Auto Spare Parts Dealer 44 - Monufia,10043,2023-01-01,Delta,Beheira,Damanhour,Magneti Marelli Windshield Wiper for Hyundai,282.56,37,10454.72,3851.52,36.84
Auto Spare Parts Dealer 8 - Alexandria,10007,2024-04-23,Upper Egypt,Sohag,Tahta,ACDelco Brake Pads for Chevrolet Half-Truck,422.9,50,21145.0,6415.39,30.34
Auto Spare Parts Dealer 10 - Sharqia,10009,2024-09-15,Upper Egypt,Luxor,Armant,Philips Regular Bulb for Kia,160.66,29,4659.14,1383.76,29.7
Auto Spare Parts Dealer 19 - Cairo,10018,2024-06-19,Canal Zone,Ismailia,Sheikh Zayed,NGK Windshield Wiper for Hyundai,121.17,95,11511.15,3653.64,31.74
Auto Spare Parts Dealer 34 - Giza,10033,2024-11-27,Delta,Monufia,Berket El Sabaa,Mobil Windshield Wiper for Toyota 1987-2015,286.7,93,26663.1,5817.89,21.82
Auto Spare Parts Dealer 27 - Minya,10026,2022-01-20,Delta,Beheira,Kafr El Dawar,Philips Side Mirror for Hyundai,359.01,16,5744.16,2189.1,38.11
Auto Spare Parts Dealer 13 - Luxor,10012,2022-05-16,Upper Egypt,Assiut,Abnoub,Denso Engine Oil for Hyundai,1859.81,7,13018.67,3714.23,28.53
Auto Spare Parts Dealer 28 - Dakahlia,10027,2024-12-15,Delta,Sharqia,Abu Kabir,Magneti Marelli Regular Bulb for Toyota 1987-2015,81.82,112,9163.84,3126.7,34.12
Auto Spare Parts Dealer 30 - Dakahlia,10029,2024-12-13,Greater Cairo,Cairo,Maadi,CASP Regular Bulb for Toyota 1987-2015,144.82,55,7965.1,1815.25,22.79
Auto Spare Parts Dealer 2 - Sharqia,10001,2022-08-22,Delta,Beheira,Damanhour,Hella Regular Bulb for Nissan 1987-2015,63.91,63,4026.33,1017.86,25.28
Auto Spare Parts Dealer 19 - Cairo,10018,2023-04-26,Delta,Beheira,Damanhour,Mobil Windshield Wiper for Chevrolet Half-Truck,165.75,69,11436.75,4452.33,38.93
Auto Spare Parts Dealer 2 - Sharqia,10001,2022-11-05,Upper Egypt,Assiut,Dayrout,ACDelco Engine Oil for Kia,1109.7,14,15535.8,3781.41,24.34
Auto Spare Parts Dealer 45 - Ismailia,10044,2022-07-12,Greater Cairo,Qalyubia,Shibin El Qanater,Champion Regular Bulb for Chevrolet Half-Truck,126.06,53,6681.18,2093.21,31.33
Auto Spare Parts Dealer 42 - Alexandria,10041,2022-01-22,Delta,Dakahlia,Talkha,NGK Engine Oil for Toyota 1987-2015,1429.87,9,12868.83,3999.63,31.08
Auto Spare Parts Dealer 32 - Monufia,10031,2024-11-17,Greater Cairo,Qalyubia,Toukh,Magneti Marelli Regular Bulb for Hyundai,107.62,106,11407.72,3196.44,28.02
Auto Spare Parts Dealer 25 - Cairo,10024,2022-12-11,Greater Cairo,Cairo,Shubra,Magneti Marelli Brake Cylinder for Kia,772.04,22,16984.88,4813.51,28.34
Auto Spare Parts Dealer 48 - Minya,10047,2024-03-02,Upper Egypt,Minya,Beni Mazar,Bosch Window Regulator for Kia,971.49,19,18458.31,4592.43,24.88
Auto Spare Parts Dealer 46 - Port Said,10045,2024-04-27,Upper Egypt,Luxor,Esna,Champion Regular Bulb for Hyundai,142.62,68,9698.16,3171.3,32.7
Auto Spare Parts Dealer 22 - Minya,10021,2024-09-10,Alexandria,Alexandria,Smouha,Champion HID Bulb for Kia,811.97,11,8931.67,2910.83,32.59
Auto Spare Parts Dealer 27 - Minya,10026,2022-12-01,Greater Cairo,Cairo,Maadi,Bosch Battery for Chevrolet Half-Truck,2128.18,12,25538.16,5495.81,21.52
Auto Spare Parts Dealer 39 - Cairo,10038,2023-11-09,Upper Egypt,Aswan,Aswan First,Champion Engine Oil for Toyota 1987-2015,1343.02,10,13430.2,3489.17,25.98
Auto Spare Parts Dealer 14 - Sohag,10013,2024-10-04,Alexandria,Alexandria,Sidi Gaber,Hella Regular Bulb for Chevrolet Half-Truck,188.98,25,4724.5,1433.41,30.34
Auto Spare Parts Dealer 32 - Monufia,10031,2023-01-29,Delta,Sharqia,Bilbeis,Champion Window Regulator for Toyota 1987-2015,641.74,12,7700.88,1949.09,25.31
Auto Spare Parts Dealer 46 - Port Said,10045,2024-04-27,Upper Egypt,Luxor,Esna,CASP Regular Bulb for Toyota 1987-2015,198.38,115,22813.7,8929.28,39.14
Auto Spare Parts Dealer 4 - Dakahlia,10003,2022-08-04,Canal Zone,Ismailia,Arbaeen,DEPO Regular Bulb for Kia,119.74,56,6705.44,1409.48,21.02
Auto Spare Parts Dealer 45 - Ismailia,10044,2024-05-07,Upper Egypt,Sohag,Akhmim,Philips Front Headlight for Toyota 1987-2015,634.45,29,18399.05,4012.83,21.81
Auto Spare Parts Dealer 10 - Sharqia,10009,2022-10-09,Canal Zone,Port Said,Dawahi,Champion Battery for Hyundai,2185.22,10,21852.2,6964.3,31.87
Auto Spare Parts Dealer 24 - Assiut,10023,2022-08-31,Canal Zone,Port Said,Manakh,Bosch Air Filter for Toyota 1987-2015,228.28,61,13925.08,4965.68,35.66
Auto Spare Parts Dealer 34 - Giza,10033,2022-02-06,Upper Egypt,Luxor,Qurna,CASP Regular Bulb for Hyundai,77.87,58,4516.46,1220.35,27.02
Auto Spare Parts Dealer 39 - Cairo,10038,2022-04-25,Alexandria,Alexandria,Miami,Denso Brake Cylinder for Kia,1398.26,10,13982.6,4022.79,28.77
Auto Spare Parts Dealer 19 - Cairo,10018,2024-10-13,Alexandria,Alexandria,Smouha,Magneti Marelli Air Filter for Toyota 1987-2015,293.8,10,2938.0,982.17,33.43
Auto Spare Parts Dealer 44 - Monufia,10043,2022-12-31,Canal Zone,Port Said,Sharq,Hella Windshield Wiper for Kia,103.59,11,1139.49,323.5,28.39
Auto Spare Parts Dealer 24 - Assiut,10023,2023-04-04,Delta,Sharqia,Minya Al Qamh,Denso Battery for Hyundai,1129.19,13,14679.47,5459.29,37.19
Auto Spare Parts Dealer 26 - Sohag,10025,2022-05-03,Upper Egypt,Minya,Mallawi,CASP HID Bulb for Nissan 1987-2015,672.75,36,24219.0,8791.5,36.3
Auto Spare Parts Dealer 26 - Sohag,10025,2024-12-26,Canal Zone,Port Said,Sharq,Mobil Windshield Wiper for Kia,182.06,14,2548.84,825.31,32.38
Auto Spare Parts Dealer 18 - Cairo,10017,2024-05-23,Delta,Sharqia,Kafr Saqr,Magneti Marelli Regular Bulb for Toyota 1987-2015,115.07,54,6213.78,1269.48,20.43
Auto Spare Parts Dealer 10 - Sharqia,10009,2022-01-25,Upper Egypt,Sohag,Akhmim,Champion Window Regulator for Kia,769.63,9,6926.67,2004.58,28.94
Auto Spare Parts Dealer 26 - Sohag,10025,2022-01-09,Canal Zone,Ismailia,First District,ACDelco HID Bulb for Nissan 1987-2015,638.86,36,22998.96,7780.55,33.83
